"date","state","county","locality","habitat","latitude","longitude","masl","subfamily","ant.genus","ant.species","code","collection","collector"
"1971-08-24","connecticut","new haven","Narrows Island",NA,NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","PMNH","EG"
"1971-08-24","connecticut","new haven","Narrows Island",NA,NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","PMNH","EG"
"1972-08-26","connecticut","new haven","Thimbles Island #II",NA,NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","PMNH","EG"
"1972-08-26","connecticut","new haven","Thimbles Island #II",NA,NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","PMNH","EG"
"1942-08-28","connecticut","new haven","Hamden","Mt. Carmel.  Stump.",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","PMNH","W.D.H."
"1971-08-29","connecticut","new haven","Outer Island",NA,NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","PMNH","EG"
"1972-08-31","connecticut","new haven","Thimbles Isl",NA,NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","PMNH","EG"
"1972-08-31","connecticut","new haven","Thimble Isl #II",NA,NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","PMNH","EG"
"1972-08-31","connecticut","new haven","Thimbles Isl #II",NA,NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","PMNH","EG"
"1972-09-01","connecticut","new haven","Horse Island",NA,NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","PMNH","EG"
"1972-09-01","connecticut","new haven","Thimbles Island #II",NA,NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","PMNH","EG"
"1972-09-01","connecticut","new haven","Thimbles Isl #II",NA,NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","PMNH","EG"
"1971-09-07","connecticut","new haven","Pot Isl. So.",NA,NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","PMNH","EG"
"1971-09-07","connecticut","new haven","Pot Isl. Wo.",NA,NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","PMNH","EG"
"1971-09-07","connecticut","new haven","Outer Island",NA,NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","PMNH","EG"
"1958-09-08","connecticut","tolland","Storrs",NA,41.8083,-72.25,NA,"Myrmicinae","Aphaenogaster","rudis complex","aphrud","UCMS","Sweet"
"1958-09-08","connecticut","tolland","Storrs",NA,41.8083,-72.25,NA,"Myrmicinae","Aphaenogaster","rudis complex","aphrud","UCMS","Sweet"
"1971-09-09","connecticut","new haven","Mainland I",NA,NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","PMNH",NA
"1971-09-10","connecticut","new haven",NA,NA,NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","PMNH","Goi"
"2007-09-10","connecticut","windham","Willimantic","South Ridge Drive",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","PMNH","Raymond J. Pupedis"
"1972-09-11","connecticut","new haven","Mainland I",NA,NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","PMNH","EG"
