"ddg.type","ddg.num","ddg.name","ddg.value","ddg.scope","ddg.from.env","ddg.time","ddg.loc","ddg.current"
"URL",1,"http://harvardforest.fas.harvard.edu/data/p14/hf147/hf147-12-ne-ants-1864-2011.csv","\""http://harvardforest.fas.harvard.edu/data/p14/hf147/hf147-12-ne-ants-1864-2011.csv\""","R_GlobalEnv",FALSE,"","",TRUE
"Snapshot",2,"x","./eepOdy_ddg/data/2-x-PARTIAL.csv","R_GlobalEnv",FALSE,"2016-10-06T16.56.09EDT","",TRUE
"URL",3,"http://harvardforest.fas.harvard.edu/data/p14/hf147/hf147-07-ant-sites-1999-2000.csv","\""http://harvardforest.fas.harvard.edu/data/p14/hf147/hf147-07-ant-sites-1999-2000.csv\""","R_GlobalEnv",FALSE,"","",TRUE
"Snapshot",4,"sites","./eepOdy_ddg/data/4-sites.csv","R_GlobalEnv",FALSE,"2016-10-06T16.56.09EDT","",TRUE
"URL",5,"http://harvardforest.fas.harvard.edu/data/p14/hf147/hf147-09-nantucket-sites-2004-09.csv","\""http://harvardforest.fas.harvard.edu/data/p14/hf147/hf147-09-nantucket-sites-2004-09.csv\""","R_GlobalEnv",FALSE,"","",TRUE
"Snapshot",6,"nant.sites","./eepOdy_ddg/data/6-nant.sites.csv","R_GlobalEnv",FALSE,"2016-10-06T16.56.09EDT","",TRUE
"Snapshot",7,"x","./eepOdy_ddg/data/7-x-PARTIAL.csv","R_GlobalEnv",FALSE,"2016-10-06T16.56.09EDT","",TRUE
"Snapshot",8,"x","./eepOdy_ddg/data/8-x-PARTIAL.csv","R_GlobalEnv",FALSE,"2016-10-06T16.56.09EDT","",TRUE
"Snapshot",9,"x","./eepOdy_ddg/data/9-x-PARTIAL.csv","R_GlobalEnv",FALSE,"2016-10-06T16.56.09EDT","",TRUE
"Snapshot",10,"nant.sites","./eepOdy_ddg/data/10-nant.sites.csv","R_GlobalEnv",FALSE,"2016-10-06T16.56.09EDT","",TRUE
"Snapshot",11,"nant","./eepOdy_ddg/data/11-nant-PARTIAL.csv","R_GlobalEnv",FALSE,"2016-10-06T16.56.09EDT","",TRUE
"Snapshot",12,"nant","./eepOdy_ddg/data/12-nant-PARTIAL.csv","R_GlobalEnv",FALSE,"2016-10-06T16.56.09EDT","",TRUE
"Snapshot",13,"nant","./eepOdy_ddg/data/13-nant-PARTIAL.csv","R_GlobalEnv",FALSE,"2016-10-06T16.56.09EDT","",TRUE
"Data",14,"loc","\""MuskegetIslandWest\""","R_GlobalEnv",TRUE,"","",TRUE
"Snapshot",15,"nant","./eepOdy_ddg/data/15-nant-PARTIAL.txt","R_GlobalEnv",FALSE,"2016-10-06T16.56.09EDT","",TRUE
"Snapshot",16,"duke","./eepOdy_ddg/data/16-duke-PARTIAL.csv","R_GlobalEnv",FALSE,"2016-10-06T16.56.09EDT","",TRUE
"Snapshot",17,"duke","./eepOdy_ddg/data/17-duke-PARTIAL.csv","R_GlobalEnv",FALSE,"2016-10-06T16.56.09EDT","",TRUE
"Snapshot",18,"duke","./eepOdy_ddg/data/18-duke-PARTIAL.csv","R_GlobalEnv",FALSE,"2016-10-06T16.56.09EDT","",TRUE
"Snapshot",19,"include","./eepOdy_ddg/data/19-include.csv","R_GlobalEnv",FALSE,"2016-10-06T16.56.09EDT","",TRUE
"Snapshot",20,"ants","./eepOdy_ddg/data/20-ants-PARTIAL.csv","R_GlobalEnv",FALSE,"2016-10-06T16.56.09EDT","",TRUE
"Snapshot",21,"ants","./eepOdy_ddg/data/21-ants-PARTIAL.csv","R_GlobalEnv",FALSE,"2016-10-06T16.56.09EDT","",TRUE
"Snapshot",22,"ME","./eepOdy_ddg/data/22-ME-PARTIAL.csv","R_GlobalEnv",FALSE,"2016-10-06T16.56.09EDT","",TRUE
"Snapshot",23,"ME","./eepOdy_ddg/data/23-ME-PARTIAL.csv","R_GlobalEnv",FALSE,"2016-10-06T16.56.09EDT","",TRUE
"Snapshot",24,"ants","./eepOdy_ddg/data/24-ants-PARTIAL.csv","R_GlobalEnv",FALSE,"2016-10-06T16.56.09EDT","",TRUE
"Snapshot",25,"ants","./eepOdy_ddg/data/25-ants-PARTIAL.csv","R_GlobalEnv",FALSE,"2016-10-06T16.56.09EDT","",TRUE
"Snapshot",26,"missing","./eepOdy_ddg/data/26-missing-PARTIAL.csv","R_GlobalEnv",FALSE,"2016-10-06T16.56.09EDT","",TRUE
"Snapshot",27,"missing","./eepOdy_ddg/data/27-missing-PARTIAL.csv","R_GlobalEnv",FALSE,"2016-10-06T16.56.09EDT","",TRUE
"Snapshot",28,"missing","./eepOdy_ddg/data/28-missing-PARTIAL.csv","R_GlobalEnv",FALSE,"2016-10-06T16.56.09EDT","",TRUE
"Snapshot",29,"missing","./eepOdy_ddg/data/29-missing-PARTIAL.csv","R_GlobalEnv",FALSE,"2016-10-06T16.56.09EDT","",TRUE
"Snapshot",30,"missing","./eepOdy_ddg/data/30-missing-PARTIAL.csv","R_GlobalEnv",FALSE,"2016-10-06T16.56.10EDT","",TRUE
"Snapshot",31,"missing","./eepOdy_ddg/data/31-missing-PARTIAL.csv","R_GlobalEnv",FALSE,"2016-10-06T16.56.10EDT","",TRUE
"Snapshot",32,"ants","./eepOdy_ddg/data/32-ants-PARTIAL.csv","R_GlobalEnv",FALSE,"2016-10-06T16.56.10EDT","",TRUE
"Snapshot",33,"ants","./eepOdy_ddg/data/33-ants-PARTIAL.csv","R_GlobalEnv",FALSE,"2016-10-06T16.56.10EDT","",TRUE
"Snapshot",34,"ne.map","./eepOdy_ddg/data/34-ne.map.jpeg","R_GlobalEnv",FALSE,"2016-10-06T16.56.13EDT","",TRUE
"File",35,"NE_arudis_map.pdf","./eepOdy_ddg/data/35-NE_arudis_map.pdf","undefined",FALSE,"2016-10-06T16.56.13EDT","/Users/hermes/Projects/HF/projects/Dprov/projects/dev/src/eepOdy/src/NE_arudis_map.pdf",TRUE
"File",36,"dev.off.36.pdf","./eepOdy_ddg/data/36-dev.off.36.pdf","undefined",FALSE,"2016-10-06T16.56.14EDT","/Users/hermes/Projects/HF/projects/Dprov/projects/dev/src/eepOdy/src/dev.off.36.pdf",TRUE
